index,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,TxPulseRle,VTxIndex,elevAperIndex,SystemPulserSel,bsIndexTrace,TxFrequencyHz,probeId,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,numMeasVoltage,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,profTxVoltageVolt,zMeasNum,zt_est
154,10,10,2,8.0,83,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.2
155,10,10,2,9.5,88,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
156,10,10,2,11.0,92,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
157,10,10,2,13.0,96,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
158,10,10,2,14.5,99,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
159,10,10,2,19.0,104,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
160,10,14,2,4.0,62,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.0
161,10,14,2,6.0,75,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.2
162,10,14,2,8.0,83,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.2
163,10,14,2,9.5,88,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
164,10,14,2,11.0,92,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
165,10,14,2,13.0,96,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
166,10,14,2,14.5,99,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
167,10,14,2,19.0,104,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
168,10,19,2,4.0,62,4.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.9
169,10,19,2,6.0,75,4.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.1
170,10,19,2,8.0,83,4.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.1
171,10,19,2,9.5,88,4.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
172,10,19,2,11.0,92,4.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
173,10,19,2,13.0,96,4.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
174,10,19,2,14.5,99,4.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
175,10,19,2,19.0,104,4.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.3
