,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX,bsIndexTrace,count
197,334,14L5,Cb,5,5,28,1,1.0,17,3.0,0,0,0,0,0.0,1,0,0,10,2
198,335,14L5,Cb,5,5,28,1,1.5,25,3.0,0,0,0,0,0.0,1,0,0,10,2
199,336,14L5,Cb,5,5,28,1,2.25,38,3.0,0,0,0,0,0.0,1,0,0,10,2
200,337,14L5,Cb,5,5,28,1,3.5,58,3.0,0,0,0,0,0.0,1,0,0,10,2
201,338,14L5,Cb,5,5,28,1,5.25,88,3.0,0,0,0,0,0.0,1,0,0,10,2
202,411,14L5,Cb,5,5,28,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0,10,2
203,412,14L5,Cb,5,5,28,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0,10,2
204,413,14L5,Cb,5,5,28,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0,10,2
205,414,14L5,Cb,5,5,28,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0,10,2
206,415,14L5,Cb,5,5,28,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0,10,2
207,416,14L5,Cb,5,5,28,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0,10,2
208,417,14L5,Cb,5,5,28,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0,10,2
209,418,14L5,Cb,5,5,28,1,7.0,117,4.0,0,0,0,0,0.0,1,0,0,10,2
210,451,14L5,D,10,10,22,1,0.25,3,4.0,1,0,0,0,0.0,0,0,0,0,2
211,452,14L5,D,10,10,22,1,0.5,6,4.0,1,0,0,0,0.0,0,0,0,0,2
212,453,14L5,D,10,10,22,1,0.75,9,4.0,1,0,0,0,0.0,0,0,0,0,2
213,454,14L5,D,10,10,22,1,1.0,13,4.0,1,0,0,0,0.0,1,0,0,0,2
214,455,14L5,D,10,10,22,1,1.5,19,4.0,1,0,0,0,0.0,1,0,0,0,2
215,456,14L5,D,10,10,22,1,2.25,28,4.0,1,0,0,0,0.0,1,0,0,0,2
216,457,14L5,D,10,10,22,1,3.5,44,4.0,1,0,0,0,0.0,1,0,0,0,2
217,458,14L5,D,10,10,22,1,5.25,66,4.0,1,0,0,0,0.0,1,0,0,0,2
218,459,14L5,D,10,10,24,1,0.25,3,4.0,1,0,0,0,0.0,0,0,0,0,2
219,460,14L5,D,10,10,24,1,0.5,6,4.0,1,0,0,0,0.0,0,0,0,0,2
220,461,14L5,D,10,10,24,1,0.75,9,4.0,1,0,0,0,0.0,0,0,0,0,2
